Fossil Family,Body part,Original Cost,Adjusted Cost
Ceratopsidae,Skeleton,1158481.13,1293025.25
Thescelosauridae,Femur,229735.44,248091.68
Hypsilophodontidae,Partial skeleton,474392.81,529346.97
Camptosauridae,Nest with eggs,342848.88,384965.0
Camptosauridae,Composite skeleton,829914.41,989263.1
Dromaeosauridae,Skull,2579569.32,2927231.19
Diplodocidae,Skull,3248693.36,3661682.06
Dromaeosauridae,Skull,2438927.85,2755796.16
Diplodocidae,Skull,2853596.46,3049023.11
Stegosauridae,Skeleton,11081460.71,12343066.43
Hadrosauridae,Articulated leg,1031347.86,1205701.14
Tyrannosauridae,Composite skeleton,6724430.89,7950140.0
Hadrosauridae,Virtually complete skeleton,2023857.0,2281518.87
Hadrosauridae,Articulated leg,1028791.52,1117682.97
Camptosauridae,Nest with eggs,334108.73,396809.18
Allosauridae,Skeleton,2772274.84,2974803.53
Hadrosauridae,Nest with eggs,626831.95,668835.23
Ceratopsidae,Virtually complete skeleton,1466644.41,1674534.45
Allosauridae,Virtually complete skeleton,3257599.13,3561449.81
Hypsilophodontidae,Nest with eggs,134886.27,153026.9
Tyrannosauridae,Virtually complete skeleton,6750735.7,7952295.33
Tarbosauridae,Nest with eggs,796844.61,862711.21
Dromaeosauridae,Femur,2188683.84,2304857.72
Allosauridae,Nest with eggs,917973.91,982799.49
Camptosauridae,Nest with eggs,348818.92,391892.7
Stegosauridae,Virtually complete skeleton,17218463.97,19878196.5
Diplodocidae,Articulated leg,2737160.63,3249173.82
Allosauridae,Virtually complete skeleton,3585585.47,4225498.51
Tyrannosauridae,Femur,4839040.15,5262894.55
Thescelosauridae,Virtually complete skeleton,566973.96,677744.0
Allosauridae,Composite skeleton,2247811.18,2450838.04
Stegosauridae,Skeleton,16024686.37,17789197.31
Diplodocidae,Skeleton,5139736.71,5674873.51
Dromaeosauridae,Skull,2137369.13,2331558.72
Dromaeosauridae,Nest with eggs,1128521.26,1335377.81
Unidentified,Composite skeleton,429509.3,459270.83
Hadrosauridae,Composite skeleton,1604475.98,1854652.24
Ceratopsidae,Nest with eggs,399265.4,421008.8
Tyrannosauridae,Virtually complete skeleton,8736993.28,9344074.76
Camptosauridae,Skull,753883.32,795198.73
Diplodocidae,Skeleton,4437823.16,5208137.68
Apatosauridae,Virtually complete skeleton,9470571.09,10229964.97
Unidentified,Femur,241659.11,260620.6
Diplodocidae,Skeleton,4603217.36,5292575.38
Camptosauridae,Virtually complete skeleton,1170381.94,1330033.36
Unidentified,Virtually complete skeleton,491840.72,565881.35
Unidentified,Nest with eggs,146245.05,154680.72
Tyrannosauridae,Articulated leg,4800570.56,5519272.21
Thescelosauridae,Nest with eggs,163793.98,186688.05
Tyrannosauridae,Virtually complete skeleton,9016863.09,10224065.79
Apatosauridae,Virtually complete skeleton,10135205.54,10881628.56
Tyrannosauridae,Skull,5134808.64,5412550.29
Apatosauridae,Composite skeleton,9162902.5,9769683.7
Apatosauridae,Nest with eggs,3413970.29,3865372.5
Tarbosauridae,Composite skeleton,2357683.34,2809592.57
Unidentified,Nest with eggs,160688.98,183894.7
