Latitude,Longitude,Fossil_Name,Early_Age,Late_Age,Environment,Country_Code
42.933300,123.966698,Chaoyangsaurus youngi,152.2,132.6,fluvial indet.,CN
41.799999,120.733330,Protarchaeopteryx robusta,125.77,119.5,lacustrine indet.,CN
41.799999,120.733330,Caudipteryx zoui,125.77,119.5,lacustrine indet.,CN
43.299999,99.599998,Theropoda,83.6,72.1,terrestrial indet.,MN
30.538889,34.726665,Dinosauria,145.0,113.0,lacustrine - small,IL
50.740726,-111.528732,Gorgosaurus libratus,83.6,72.1,"""channel""",CA
50.753296,-111.461914,Hadrosauridae,83.6,72.1,terrestrial indet.,CA
50.737015,-111.549347,Gorgosaurus libratus,83.6,72.1,"""channel""",CA
50.737297,-111.528931,Centrosaurus apertus,83.6,72.1,terrestrial indet.,CA
50.723866,-111.564636,Gorgosaurus libratus,83.6,72.1,channel lag,CA
50.740471,-111.525337,Gorgosaurus libratus,83.6,72.1,terrestrial indet.,CA
50.786999,-111.601021,Gorgosaurus libratus,83.6,72.1,channel lag,CA
51.804600,-112.981903,Albertosaurus sarcophagus,72.1,66.0,terrestrial indet.,CA
51.819099,-112.981903,Albertosaurus sarcophagus,72.1,66.0,terrestrial indet.,CA
51.542702,-112.818901,Albertosaurus sarcophagus,72.1,66.0,terrestrial indet.,CA
51.469898,-112.842300,Albertosaurus sarcophagus,72.1,66.0,terrestrial indet.,CA
51.440800,-112.702202,Albertosaurus sarcophagus,72.1,66.0,terrestrial indet.,CA
21.183332,80.366669,Isisaurus colberti,72.1,66.0,crevasse splay,IN
49.083698,-110.681999,Daspletosaurus torosus,83.6,72.1,terrestrial indet.,CA
50.742401,-111.511902,Theropoda,83.6,72.1,terrestrial indet.,CA
50.751526,-111.485008,Daspletosaurus torosus,83.6,72.1,fine channel fill,CA
51.928299,-112.934799,Albertosaurus sarcophagus,72.1,66.0,terrestrial indet.,CA
51.906399,-113.028900,Tyrannosaurus rex,72.1,66.0,"""channel""",CA
51.933334,-113.233330,Tyrannosaurus rex,72.1,66.0,terrestrial indet.,CA
50.770000,-111.529999,Gryposaurus notabilis,83.6,72.1,terrestrial indet.,CA
41.566666,-72.633331,Theropoda,201.4,192.9,terrestrial indet.,US
-43.966667,-69.516670,Amygdalodon patagonicus,192.9,182.9,terrestrial indet.,AR
39.068802,-108.699989,Camarasaurus grandis,154.8,145.0,fluvial-lacustrine indet.,US
39.111668,-108.717499,Camarasaurus supremus,154.8,149.2,fluvial-lacustrine indet.,US
47.637699,-106.569901,Ankylosaurus magniventris,72.1,66.0,terrestrial indet.,US
34.180000,-96.278053,Titanosauriformes,119.5,109.9,coastal indet.,US
45.547501,22.915800,Saurornitholestes,72.1,66.0,wet floodplain,RO
36.060280,-107.966393,Bistahieversor sealeyi,83.6,72.1,terrestrial indet.,US
-37.383331,174.716660,Theropoda,150.0,145.0,delta front,NZ
-17.687000,-65.940002,Abelisauridae,72.1,66.0,estuary/bay,BO
47.695831,-106.227776,Pachycephalosaurus wyomingensis,72.1,66.0,"""channel""",US
47.695831,-106.227776,Hadrosauridae,72.1,66.0,"""channel""",US
